Left,Right
1153,119
850,14
776,81
1441,141
1148,58
1445,20
194,139
216,84
967,127
667,76
373,74
505,100
326,106
1430,39
1170,70
538,86
1170,127
1260,49
247,36
1516,12
838,1
877,53
1360,46
1447,116
1540,85
503,37
1571,97
931,90
1298,68
1181,37
1347,77
295,123
174,111
1353,85
1573,49
528,89
1572,52
431,58
678,53
597,44
664,116
864,15
1012,128
717,127
1548,38
1404,110
472,40
453,32
1097,110
420,33
995,117
883,88
1288,147
1165,27
1569,51
1449,28
502,42
918,146
538,17
678,78
1074,59
1252,57
1096,39
1327,43
944,33
1051,14
695,71
475,16
1352,91
636,104
271,43
274,46
1492,18
1325,25
1330,73
490,110
1069,40
359,117
398,31
1074,52
308,18
1354,8
612,62
965,75
747,122
492,147
246,110
890,93
722,1
347,138
903,90
1171,67
1295,95
835,100
883,61
322,134
1103,12
832,114
1264,7
978,94
327,24
1382,144
1223,107
784,50
996,26
1148,30
564,24
316,144
1118,61
1429,101
555,144
445,45
569,49
750,113
1345,121
1194,73
1376,129
1597,116
513,102
1192,126
927,99
1006,5
1638,11
565,130
1444,106
1276,15
655,146
938,43
493,112
802,96
357,83
1027,67
876,38
1387,34
264,111
1029,72
1564,143
441,39
360,60
1264,92
701,9
1484,119
1013,21
834,78
1361,25
210,9
1416,19
1151,23
413,101
1397,100
1026,45
291,10
1145,98
207,1
1622,40
1351,124
410,50
1299,148
723,99
774,115
578,68
1495,14
732,94
1571,91
1107,82
1360,83
229,21
1326,73
1147,149
1035,56
1474,124
714,24
762,78
1116,78
1453,53
1567,140
728,78
1436,57
838,17
920,34
1382,70
347,129
712,77
497,102
828,41
1174,90
235,49
855,30
775,129
693,65
1034,14
564,59
1649,100
1144,146
1268,42
617,75
569,146
1401,46
232,51
860,56
506,87
440,108
709,93
171,104
959,43
885,34
570,6
1535,126
341,37
1569,6
163,125
322,129
1631,56
1460,4
1509,97
1033,73
798,75
1306,81
312,56
254,100
844,139
1322,43
1605,26
1416,128
1104,140
718,46
605,4
1536,109
1223,126
402,143
1460,76
831,73
795,107
315,28
184,100
808,65
173,82
411,112
1562,129
676,74
931,42
1191,49
1317,38
1514,57
711,26
338,51
1549,67
904,15
1420,86
592,131
765,131
540,5
1412,56
1279,144
761,94
673,113
1386,89
508,69
364,110
1240,100
1185,86
916,57
1348,4
1051,98
311,32
917,12
1560,119
742,12
541,1
735,63
1457,59
1054,137
1208,50
275,120
912,112
481,10
1438,94
884,65
312,75
419,45
1564,79
1236,22
621,3
897,68
251,98
1077,114
270,146
557,3
1400,1
395,57
692,148
365,24
1157,139
992,48
1048,138
899,125
1376,27
814,53
896,19
506,97
544,95
1598,3
184,95
1277,48
342,55
1271,117
563,41
1578,121
715,114
352,108
1347,18
884,109
1616,24
970,80
322,33
1517,34
571,68
554,80
863,30
529,17
1408,110
1183,107
1243,60
533,81
461,77
385,102
1122,34
712,86
694,42
1349,61
495,91
1428,123
1425,73
289,26
794,23
631,83
255,110
627,122
1613,130
1507,78
490,133
1382,65
834,130
506,65
530,78
1014,112
884,64
559,65
1229,32
927,84
1247,86
270,108
240,106
1173,32
550,139
647,37
1378,22
1442,14
656,141
1177,54
1143,5
889,103
337,62
1468,105
945,76
756,3
1226,15
1093,123
877,119
1146,93
1061,125
398,25
333,148
1612,117
629,38
1218,22
210,106
600,66
1332,120
786,89
732,75
882,123
500,146
1402,45
1336,60
316,61
300,127
658,49
1218,13
1313,74
273,85
1028,128
157,42
460,124
1574,55
1427,74
563,40
1304,126
1508,34
1490,24
1286,140
880,97
1469,91
616,61
621,143
651,14
1128,139
1577,110
1442,143
920,86
1016,120
1371,113
1412,8
942,42
1078,53
1525,84
1334,40
730,123
204,55
709,81
1237,36
1287,77
232,63
777,130
199,98
1261,94
427,9
1432,107
1432,37
1230,115
1609,128
1347,88
887,131
559,40
819,72
648,18
1049,120
1541,105
1387,51
1260,80
821,118
1455,105
731,124
1001,68
294,128
1328,135
173,52
967,112
179,111
1218,72
618,137
726,42
1335,86
1501,47
212,25
496,74
605,132
1497,24
1001,125
1121,42
767,109
605,149
755,28
1386,40
1230,141
1007,82
1117,18
1550,9
689,16
287,94
1146,85
1007,57
992,62
840,97
1058,30
602,36
1396,28
447,27
596,112
885,28
684,36
337,86
277,98
655,78
501,79
1490,41
511,40
1463,89
1300,140
544,74
615,44
1185,47
914,45
721,82
682,53
486,105
750,68
1641,77
1122,104
1397,122
1315,145
562,115
660,55
446,79
835,23
1127,77
775,41
215,88
544,16
1630,52
360,140
403,112
517,101
356,130
524,122
362,105
182,66
839,125
621,61
612,72
230,111
1361,46
1127,103
1369,48
500,90
596,89
1145,138
958,51
574,38
423,148
157,138
1091,122
1225,80
1065,1
1459,69
741,47
517,31
386,113
392,56
250,21
659,58
1377,88
1106,109
1578,34
678,17
1259,117
715,48
1295,94
1137,91
1045,47
815,51
1557,25
826,147
1286,129
163,60
705,35
245,31
1469,32
669,63
412,75
1479,25
1320,10
1625,41
1139,27
697,83
1116,38
1165,145
733,136
1158,2
216,108
506,115
1165,35
1128,94
1342,128
829,5
1546,67
1494,142
981,98
784,38
1468,118
259,97
1356,35
1560,118
1271,68
818,125
1626,16
1158,131
968,128
1448,34
741,124
518,120
1247,77
399,148
925,23
363,27
1282,99
950,6
1326,146
1455,128
226,125
236,142
807,80
1462,14
779,62
873,20
666,101
1257,50
181,24
671,67
461,35
1225,74
260,47
1336,49
1553,36
1313,19
1364,21
1550,43
1361,81
631,1
909,103
720,19
1334,69
991,7
756,71
553,68
979,26
1416,3
788,72
840,85
330,10
598,39
1009,35
1297,59
1520,149
1410,108
650,148
481,14
774,12
488,101
1485,21
424,149
1259,1
890,43
229,39
473,24
257,126
321,117
232,45
1044,102
1508,86
377,124
993,51
1027,121
542,145
856,49
992,33
654,30
626,137
1282,71
1170,135
1090,124
568,107
629,66
179,38
1313,134
1562,4
188,55
1206,72
1069,110
1235,95
1627,75
1469,85
410,114
882,77
460,111
1341,79
689,118
1501,19
1144,85
601,78
346,119
685,70
1443,13
1160,61
576,78
996,49
1339,33
1431,34
1323,146
248,138
1273,112
1497,46
805,110
821,35
1594,1
626,13
392,68
1171,135
994,133
610,26
254,115
1060,17
1476,55
940,81
971,133
193,42
523,129
497,62
272,101
1336,130
1356,108
1388,88
791,26
1503,69
1296,81
970,52
1246,120
1097,19
1608,78
1643,127
1041,149
1156,1
630,108
238,64
1612,79
179,105
1492,47
1110,128
487,21
553,20
190,35
1019,23
268,43
664,77
569,35
1396,54
219,117
1219,27
1428,93
1004,76
681,76
1543,33
1172,102
650,63
1352,132
230,11
1565,96
295,109
948,81
616,143
485,23
640,70
1388,101
1537,105
1490,111
1346,134
861,25
975,128
1212,70
1224,147
1457,24
330,84
1474,89
1272,52
367,43
1246,108
467,73
228,121
790,86
1335,39
660,9
1496,68
1088,61
420,24
521,30
705,114
1400,8
773,16
1189,9
1342,40
224,91
1298,137
446,68
240,22
1227,74
358,56
708,136
647,120
921,122
527,116
1125,124
1365,109
783,1
1102,38
1510,134
1414,142
854,110
1219,110
493,113
1095,84
344,13
1088,10
442,9
309,98
1318,91
1104,110
1633,36
738,18
1275,6
1628,121
1536,92
1065,129
503,26
1379,46
1392,34
722,81
1445,92
393,131
785,30
1026,147
698,16
711,88
1546,27
1034,26
1242,18
1406,144
669,3
723,68
1649,108
1426,144
888,2
1288,22
743,5
1622,28
1182,50
376,71
913,128
1393,60
1086,123
1443,105
601,61
1384,68
600,39
838,118
1323,78
1273,70
579,82
1411,76
1304,39
1232,17
1556,38
613,77
246,27
1205,101
1008,46
1528,20
1176,41
301,95
214,57
932,41
1598,28
786,95
1211,59
1508,145
305,100
684,4
1008,123
741,20
393,82
1333,103
648,1
826,67
1273,86
537,41
404,79
1421,119
1073,87
887,19
1563,127
1494,64
615,46
390,125
572,22
437,68
1247,136
1569,83
534,63
889,124
180,50
650,145
275,88
202,136
682,102
946,41
559,117
390,60
1341,42
500,90
1326,24
1210,87
905,147
1006,6
524,28
154,36
1577,118
539,68
1633,54
512,43
610,96
360,131
889,66
1242,91
1608,129
1085,109
555,86
781,76
382,98
1102,67
738,62
1105,49
707,96
1411,114
1207,8
915,141
1639,43
1035,113
310,93
1011,22
1173,24
705,41
884,128
504,31
1037,80
1229,11
821,120
1474,102
360,63
343,20
1299,14
1566,49
943,116
945,55
1648,67
1531,16
598,100
1306,10
1042,119
252,114
1352,35
1102,104
1527,99
999,51
998,130
778,105
959,53
797,44
1117,50
401,130
739,56
1259,16
945,80
1229,118
430,46
1316,21
446,88
188,21
913,19
348,27
972,30
1329,21
409,51
1596,108
609,137
1286,12
663,97
834,23
1368,39
401,63
1484,73
1466,24
1067,132
1045,100
1007,134
1283,66
1400,102
279,80
1635,27
161,5
1574,82
329,121
1510,1
805,149
1289,133
1145,99
1042,121
864,56
1603,128
505,87
551,122
204,102
1219,90
1627,39
967,141
1592,65
694,60
1059,83
1313,17
1082,2
507,45
608,104
1152,110
537,75
624,14
609,54
593,66
617,50
1248,65
710,101
1513,79
610,9
875,115
1096,112
977,32
304,108
155,42
1443,16
1139,76
1275,62
550,49
1229,70
186,46
368,112
589,146
517,29
1135,108
902,36
445,117
1202,73
830,147
1369,111
1405,129
758,147
1530,78
1543,106
1107,130
1135,41
355,37
485,18
203,120
682,122
1165,86
714,13
520,27
411,78
753,71
1042,1
228,141
1222,116
456,14
1483,6
368,42
1463,59
1236,98
418,36
1120,8
472,61
437,115
1029,87
999,119
1454,31
625,36
1198,128
566,103
517,148
619,78
351,50
1349,52
1079,49
1479,71
867,80
1563,1
417,40
1439,145
1292,94
1168,5
443,26
535,1
457,55
1265,100
648,2
821,9
1198,98
1318,91
942,83
512,2
736,17
749,13
1517,121
481,75
1627,9
1009,91
409,105
805,38
1311,20
497,79
873,117
308,44
821,96
613,29
1036,139
1383,139
834,107
1129,5
1606,112
1527,99
859,26
734,13
1333,128
423,7
680,50
935,80
1531,2
531,96
1045,112
829,5
1444,121
693,135
636,75
728,46
1242,67
609,1
865,108
811,17
1292,107
1590,107
1316,44
286,87
983,90
826,26
469,135
206,148
1175,18
984,83
318,62
198,123
889,135
1230,69
1591,33
542,122
1373,15
906,144
288,123
219,63
795,75
1397,10
1144,25
451,109
407,6
358,67
269,117
765,15
724,49
496,44
433,4
1202,64
1293,76
1192,80
180,7
254,71
1455,87
1001,80
1070,89
602,100
258,65
327,98
1168,99
275,101
652,59
1272,21
227,147
949,84
937,15
317,3
487,77
437,91
1460,19
1211,129
1138,132
1381,122
828,132
812,133
1452,12
1177,112
168,53
493,70
354,3
434,43
1257,98
162,5
1612,59
450,35
557,28
1088,53
1069,41
961,94
783,16
1176,86
986,82
1427,104
864,50
742,76
283,42
575,1
254,58
942,65
334,129
1307,68
634,147
1316,33
1508,133
292,111
1642,37
1272,73
1419,5
468,123
838,130
788,42
543,20
1131,105
1130,68
1245,61
1077,10
398,105
182,137
1077,44
1294,74
737,73
279,142
1280,130
424,60
582,34
1605,121
1236,7
469,103
1060,117
1053,107
524,32
462,108
1291,97
629,57
541,36
268,106
230,80
1134,117
828,74
1555,89
1095,69
1285,8
780,145
1571,37
962,113
456,132
339,55
1115,79
256,56
682,74
160,130
419,104
966,46
907,130
1553,47
1204,132
1357,147
294,20
390,127
1543,69
227,50
1641,131
703,117
413,71
1079,93
1337,43
224,73
1169,21
444,2
571,39
491,67
531,71
686,38
1094,82
1247,92
1492,111
1396,51
515,124
586,140
1188,55
1462,15
1201,4
254,134
287,4
513,49
211,12
1230,40
1063,9
1181,59
593,142
959,93
672,18
1420,87
905,102
1644,11
1249,79
762,100
383,98
1201,144
1075,120
1486,117
1581,138
1427,28
996,129
1280,138
1328,108
1400,16
320,22
1607,23
702,65
528,128
237,91
880,101
1649,55
700,73
352,66
1301,38
631,19
1234,104
216,32
894,113
733,21
1144,106
925,118
567,147
1017,78
999,8
293,2
1431,46
1412,34
520,42
185,92
1286,22
1093,4
1041,25
1233,59
542,23
640,55
178,107
1210,45
1517,64
223,93
548,40
417,140
1631,12
881,51
909,111
806,105
444,98
988,117
499,73
896,58
680,52
1211,16
693,94
392,127
1331,103
1505,117
320,20
602,85
431,23
381,123
905,96
1508,15
934,148
918,135
1576,32
1108,52
1608,140
759,113
1611,67
621,103
1640,132
404,138
1425,49
501,125
258,69
1231,12
317,54
305,31
1536,34
195,29
1418,141
985,5
759,8
1193,24
404,51
1372,99
1464,44
985,144
915,107
551,69
1334,59
802,6
415,52
436,76
1176,27
1302,122
269,86
556,49
1620,38
1350,29
385,135
1565,39
1192,137
1147,119
751,13
657,63
880,20
548,113
189,101
870,137
922,129
1102,117
1583,141
910,110
1463,81
971,104
412,140
1581,68
1126,16
506,37
1209,81
349,93
681,68
920,108
997,21
1513,67
181,44
160,20
465,99
1032,47
1446,105
503,114
914,108
492,82
806,41
633,86
1446,123
1292,135
882,147
995,129
769,33
1214,113
1222,17
365,55
992,81
380,91
1122,59
373,10
1036,1
950,6
1391,106
996,100
822,93
477,145
1257,66
240,144
664,61
863,22
1128,58
376,73
374,123
778,91
1422,126
410,32
786,72
802,35
491,144
1105,8
249,88
188,50
455,147
1214,72
1088,109
865,51
1412,111
1204,76
1644,59
1562,55
721,125
1402,145
507,62
969,33
338,120
469,59
732,50
465,132
842,29
1248,39
1013,69
368,23
380,99
827,83
463,113
1620,46
549,118
1002,48
1267,140
742,9
985,120
204,35
166,62
808,58
227,116
1536,18
241,54
1626,67
920,25
1550,33
850,36
217,11
619,105
1406,149
555,59
480,66
1299,16
1473,81
371,16
1033,126
628,43
767,23
1205,52
1348,73
624,80
1468,55
1522,37
1459,2
1265,125
350,65
510,61
298,24
483,55
645,142
820,112
970,57
1081,113
807,116
1241,46
722,106
526,67
339,136
440,101
362,24
1135,44
995,131
1237,39
1646,23
983,45
312,24
340,108
624,142
1509,2
1370,7
696,68
1224,47
497,139
176,141
1190,57
355,5
257,106
645,4
1308,7
329,88
990,109
1293,78
417,31
535,81
411,28
655,21
954,58
911,16
326,84
345,87
817,142
1522,17
1357,65
874,108
1622,100
730,94
886,131
1477,20
535,135
591,45
403,61
1631,15
193,144
596,125
1444,130
598,43
563,7
1503,5
856,141
1380,46
308,9
586,20
1286,109
515,66
268,69
1120,111
179,31
1402,91
1135,120
464,69
635,126
272,16
331,126
1532,68
1188,142
288,4
595,70
614,47
1146,59
1379,98
1577,85
1364,10
356,126
511,143
1158,146
819,126
1574,127
1621,39
403,63
846,23
1337,79
1598,107
406,109
876,49
1357,77
1622,127
836,143
415,39
165,58
1557,10
1086,81
375,29
654,87
329,30
1060,140
172,138
1638,6
1324,84
1206,108
548,31
591,88
315,66
370,128
437,57
1294,103
969,142
1292,32
610,22
887,22
1134,45
905,148
275,96
561,130
1559,146
1425,131
1488,44
826,97
229,80
965,60
1279,101
1185,108
220,52
563,113
1437,125
1052,49
341,91
883,67
895,140
956,31
568,107
255,41
800,117
818,113
721,17
976,144
1329,86
456,19
1307,78
1277,68
302,38
1133,134
930,83
1124,108
650,49
251,62
1408,90
362,95
388,118
268,27
190,74
426,32
1511,147
673,56
382,28
1333,140
1152,101
1165,34
897,143
1083,79
1167,99
1204,71
1589,55
911,82
754,14
426,23
1195,128
556,26
351,140
535,118
1637,43
1399,108
256,85
1554,19
894,111
198,23
814,49
444,113
1111,84
316,85
942,29
1173,139
208,95
912,121
1648,71
1387,9
465,124
901,120
1099,54
272,132
175,61
1379,92
541,52
351,123
1126,111
1126,61
1544,107
194,69
917,61
497,72
812,133
242,107
539,149
1106,92
802,143
1448,111
1404,45
1620,83
1223,5
1347,79
1270,56
1300,142
1070,45
1420,57
1036,110
771,45
857,8
811,44
1047,102
1374,136
1361,70
1488,63
1195,63
1446,39
777,148
579,142
1040,134
1272,94
1558,47
848,83
1021,10
911,53
1491,140
1098,109
312,57
1472,142
929,97
207,101
1080,77
916,46
973,119
550,13
362,81
928,21
706,93
689,120
401,7
869,123
492,104
834,70
647,125
981,133
204,117
1151,52
1142,143
190,46
679,80
410,147
915,132
307,118
1156,90
1520,112
925,133
730,23
233,149
1103,31
1065,125
688,88
237,128
1270,34
552,124
861,56
1167,39
1406,146
498,125
1331,145
942,146
344,52
1336,131
607,2
1433,96
1410,42
623,126
876,115
1577,19
777,75
579,27
1560,9
933,124
776,111
1629,84
397,43
830,83
987,53
1500,134
961,52
1321,68
1606,21
407,82
580,88
1097,87
365,73
499,69
1100,94
418,29
745,77
791,88
1061,54
161,26
1013,38
1121,13
376,11
1262,24
814,102
259,109
413,85
1368,114
958,149
1211,14
915,114
960,138
618,119
513,128
1412,140
606,5
1026,95
1443,2
304,146
289,80
952,30
1366,50
207,4
685,45
663,99
1295,137
1573,110
385,63
1494,14
1177,49
1613,129
274,38
1636,49
1259,52
1000,33
1646,24
345,49
742,10
705,117
968,118
1323,62
1565,92
186,30
1142,62
273,101
851,75
881,1
1421,147
1302,42
1163,144
1540,135
627,132
569,5
403,107
541,114
1014,37
694,85
373,117
514,140
1380,109
823,115
1246,135
250,85
440,35
1139,42
1508,113
372,1
177,115
421,109
339,86
242,31
1381,16
895,100
1167,77
1240,103
459,36
824,84
1099,51
570,24
1324,109
233,105
343,148
1221,20
177,25
1144,70
1175,5
222,87
200,132
1484,138
1392,113
540,124
1392,96
825,24
205,9
1171,75
233,83
431,70
396,16
1063,136
1215,143
211,142
1431,37
1476,110
1250,146
449,78
1636,26
1250,51
1184,87
295,44
916,21
474,11
1286,21
1551,148
756,135
1401,59
298,60
669,101
386,42
331,10
900,30
276,12
319,16
1221,7
886,139
984,39
871,16
1192,41
272,22
410,21
938,6
1457,52
472,68
1305,81
1540,21
1644,36
1040,149
901,112
1362,101
1189,144
307,77
1257,8
1162,64
470,75
1215,44
1502,76
676,126
480,45
1240,48
656,2
1389,126
870,47
1339,8
1248,78
567,71
152,27
1337,21
1206,48
908,60
1393,37
630,89
749,45
622,92
1467,24
1367,136
716,59
852,114
584,73
550,105
354,8
450,106
493,66
1493,97
578,146
1291,10
1390,77
1054,40
1567,141
459,93
668,35
1288,130
1168,27
1174,112
725,37
1084,15
639,72
1449,33
1486,94
473,61
345,138
764,28
847,49
1325,140
1250,46
755,29
613,84
168,91
1436,22
184,110
510,36
1129,20
1301,54
604,148
340,46
432,11
965,103
298,16
630,14
1208,25
1567,76
673,145
170,121
1412,108
1318,29
993,68
1283,114
1590,149
992,145
515,86
568,135
1312,37
1488,33
1315,73
951,5
626,82
751,81
1312,11
155,109
1050,88
1446,104
1575,16
1286,56
1200,78
395,20
1114,76
225,144
191,49
799,149
1274,89
949,16
1403,34
876,132
1560,144
1539,50
1333,29
683,49
1309,72
858,45
1196,140
1143,127
453,25
948,126
859,11
1523,135
1587,99
1521,29
1065,11
1216,27
558,146
857,68
478,141
1355,96
676,47
464,53
231,145
683,5
807,81
1039,31
1509,95
1470,14
1622,147
588,7
675,2
612,97
1020,45
1489,87
290,111
488,143
374,140
387,145
1076,40
1481,19
1649,91
532,90
878,94
500,84
1613,124
1192,86
1156,64
521,27
251,92
1148,50
1510,27
219,90
238,72
1363,37
644,36
1475,136
469,35
410,59
602,111
247,81
764,125
175,17
1210,115
1288,83
777,52
1269,149
628,98
433,13
850,129
1084,18
1522,127
1305,102
1466,54
1143,31
788,103
506,12
651,101
285,118
1176,86
293,15
275,83
591,53
1531,124
170,62
1495,145
1648,3
665,86
181,140
185,110
735,16
1336,86
1219,128
289,98
240,46
309,97
791,88
334,59
668,131
1480,115
1125,16
795,91
392,23
1195,128
418,55
1469,47
157,53
1244,38
1487,8
1434,38
1441,25
523,125
154,32
452,102
522,50
465,139
1160,97
506,26
302,86
598,20
1612,145
778,10
1424,112
982,33
717,35
363,138
600,45
1391,106
1579,149
1063,43
445,24
659,49
942,32
445,91
1207,132
376,30
251,135
196,56
1181,130
931,59
1483,84
1593,113
283,97
1387,62
916,137
716,42
1334,84
544,88
1292,51
1361,95
1242,42
1368,69
566,128
1214,113
962,30
923,37
1546,44
908,59
597,149
1392,60
178,46
682,131
919,93
1555,45
794,130
1583,121
151,106
1502,79
1563,78
550,114
1201,73
992,60
792,30
1088,51
494,48
822,8
984,72
203,7
1139,21
1353,63
1198,112
319,71
1322,109
446,45
1184,112
346,5
864,42
1526,57
1081,146
185,108
1477,18
449,16
857,143
1029,30
992,77
1261,85
691,120
1550,117
287,36
897,112
330,27
431,23
416,84
1438,114
1493,145
236,142
1153,145
531,98
767,35
442,112
653,100
448,102
1023,135
1556,55
770,146
761,3
813,8
198,40
584,104
1158,87
1353,49
393,25
1487,111
763,61
299,90
1464,135
646,109
645,90
526,53
1356,89
985,86
1305,54
877,66
1572,121
302,146
418,19
1067,7
762,75
1132,79
1419,140
1046,32
166,129
932,136
1149,71
1477,11
1591,17
920,76
1450,120
943,81
725,107
1392,58
984,102
607,17
186,39
778,84
563,99
920,93
1436,32
1223,90
1464,69
831,119
1495,127
568,92
1031,144
1210,105
1142,113
673,45
232,42
1168,91
1490,25
842,69
1648,111
793,68
1265,32
190,122
852,92
868,102
496,32
409,102
1440,82
176,48
333,83
1246,71
767,122
239,72
381,39
1217,63
1646,141
1149,103
1209,110
608,106
612,123
312,87
1015,77
1436,147
1389,74
570,95
1081,138
1358,138
278,140
895,47
754,34
1563,134
1020,144
383,47
1009,49
677,64
608,37
1282,103
701,130
1459,18
360,37
361,109
722,71
1197,50
420,60
595,1
1309,112
697,79
1305,138
581,98
1495,4
336,79
899,137
1446,45
507,68
680,41
